ticker,price_r2,news_r2,delta_r2,news_helps
ACB,-0.1546,-0.307966,-0.153366,False
BCM,-0.19767,-0.321223,-0.123553,False
BID,0.015192,-0.034173,-0.049365,False
BVH,0.108747,0.005494,-0.103253,False
CTG,-0.131951,-0.115076,0.016875,True
FPT,-0.019018,-0.203224,-0.184207,False
GAS,0.218611,0.176014,-0.042598,False
GVR,0.019843,0.004969,-0.014874,False
HDB,-0.066029,-0.440533,-0.374504,False
HPG,-0.017818,-0.065117,-0.0473,False
MBB,-0.083252,-0.122785,-0.039533,False
MSN,-0.03758,-0.077924,-0.040344,False
MWG,-0.132481,-0.227197,-0.094715,False
NVL,-0.006875,-0.008406,-0.001531,False
PDR,0.011473,0.001371,-0.010102,False
PLX,0.149332,0.157391,0.008059,True
POW,-0.117127,-0.102752,0.014375,True
SAB,0.032444,0.008559,-0.023885,False
SHB,0.013284,-0.820579,-0.833863,False
SSB,-0.070105,-0.108081,-0.037976,False
SSI,0.04065,-0.074072,-0.114722,False
STB,-0.017443,-0.034385,-0.016942,False
TCB,-0.042079,-0.189611,-0.147532,False
TPB,0.0355,0.032351,-0.003148,False
VCB,-0.034637,-0.068846,-0.034209,False
VHM,-0.023805,-0.038774,-0.014969,False
VIB,-0.073531,-0.094635,-0.021104,False
VIC,-0.070354,-0.040488,0.029866,True
VJC,0.014399,-0.06235,-0.076749,False
VNM,-0.015819,-0.021964,-0.006145,False
