ticker,n_train,n_test,rmse,mae,r2,qlike,dir_acc,mape,theils_u,pearson_r,spearman_r
ACB,498,40,0.00032952,0.00021054,-25.600756,0.556052,0.35,305.466106,0.64449,0.433977,0.260346
BCM,498,40,0.00071665,0.00052166,-0.422015,0.650026,0.625,141.101279,0.43157,-0.187533,-0.042105
BID,498,40,0.00100493,0.00073874,-0.719018,2.458462,0.675,68.61084,0.601243,0.097104,-0.010526
BVH,498,40,0.00117328,0.00081417,-0.823468,0.709823,0.65,47.45582,0.512922,-0.331999,-0.190977
CTG,498,40,0.00028361,0.00017324,-4.544932,0.207057,0.475,110.122503,0.382893,0.021206,0.168421
FPT,502,42,0.00019994,0.00015235,-0.087639,0.184734,0.5238,80.674666,0.273564,0.288119,0.339831
GAS,498,40,0.00104027,0.00073957,-0.552644,0.322553,0.625,64.718499,0.350333,-0.420235,-0.309891
GVR,498,40,0.00119323,0.00092718,-0.99194,0.881187,0.625,99.329292,0.447286,-0.505122,-0.418955
HDB,498,40,0.00057175,0.00040134,-3.150923,0.568106,0.55,203.573559,0.509596,-0.15927,-0.204511
HPG,498,40,0.00030909,0.00025445,0.046937,0.394864,0.35,180.98991,0.368198,0.495934,0.454135
MBB,498,40,0.00032545,0.00017396,-0.181591,0.49659,0.65,56.969686,0.510929,-0.046511,0.105263
MSN,498,40,0.00040674,0.00032501,-0.894918,0.651259,0.475,512.803683,0.433872,-0.046048,0.118797
MWG,498,40,0.00022809,0.00019145,-0.177818,0.274982,0.525,119.544757,0.318794,0.1897,0.207519
NVL,498,40,0.00073793,0.00058033,-0.303932,0.669276,0.525,152.985621,0.483577,-0.462381,-0.451128
PDR,498,40,0.00111677,0.00104731,-3.003661,0.755061,0.275,389.416449,0.511105,-0.001669,0.321926
PLX,498,40,0.00195179,0.00144757,-1.267364,4.812796,0.8,71.134571,0.816935,-0.227948,-0.307927
POW,498,40,0.00038731,0.00031906,-0.400988,0.28198,0.625,106.544078,0.32261,0.093348,0.018804
SAB,498,40,0.00041963,0.00034191,-1.454095,3.127061,0.6,123.0729,0.566603,-0.427576,-0.535338
SHB,498,40,0.00017937,0.0001506,-0.257051,0.330245,0.425,174.356103,0.311421,0.480753,0.354887
SSB,498,40,0.00015588,0.00010246,-6.859239,0.253658,0.475,128.071544,0.427219,0.155499,0.218127
SSI,498,40,0.00063152,0.00049449,-9.038033,0.542692,0.45,305.055278,0.54674,-0.116799,-0.097744
STB,498,40,0.00058137,0.00039499,-0.175979,0.483637,0.55,74.225559,0.437228,-0.069823,-0.178947
TCB,498,40,0.00019055,0.00015941,-2.630963,0.37629,0.375,211.773098,0.366605,-0.261732,-0.347368
TPB,498,40,0.00027094,0.00024374,-9.679945,0.380823,0.35,194.090047,0.431924,-0.094931,-0.012787
VCB,500,40,0.00049309,0.00030904,-0.566101,0.84334,0.7,53.085931,0.50508,0.042207,0.252632
VHM,498,40,0.00081306,0.00066485,-0.491277,0.356651,0.675,77.214221,0.359501,-0.33057,-0.32782
VIB,498,40,0.00012206,0.00010356,-0.715974,0.360876,0.525,145.519063,0.358544,-0.277689,-0.203008
VIC,498,40,0.00105952,0.00093365,-0.509587,0.368951,0.55,191.20698,0.325431,0.123001,0.096241
VJC,498,40,0.00072049,0.00059221,-0.092816,0.477437,0.425,150.524445,0.418649,-0.248255,-0.213534
VNM,498,40,0.00031744,0.00024228,-0.271884,1.566559,0.825,50.405997,0.402779,0.68788,0.452632
