threshold,regime,n,price_r2,news_r2,delta_r2
0.6,high,2312,0.154247,0.154395,0.000148
0.6,low,18276,0.092578,0.091631,-0.000947
0.6,all,20588,0.122894,0.122187,-0.000707
0.7,high,1234,0.138424,0.137517,-0.000907
0.7,low,19354,0.107876,0.107184,-0.000692
0.7,all,20588,0.122894,0.122187,-0.000707
0.8,high,466,0.038912,0.04002,0.001108
0.8,low,20122,0.116262,0.115466,-0.000796
0.8,all,20588,0.122894,0.122187,-0.000707
0.9,high,176,-0.149845,-0.148516,0.001329
0.9,low,20412,0.122414,0.121666,-0.000748
0.9,all,20588,0.122894,0.122187,-0.000707
